's-Hertogenbosch='s Hertogenbosch|Den Bosch
Augsburg=Augspurg|Augsb.|Augsbourg|Augustae Vindel.|Augustae Vindelicorum|Aug. Vind.|Aug. Vindel.|Augustæ Vindelicorum|Augusta Vindelicorum|Augustae, Vindelicorum|Augustae Vindel|Augustae Vindelicae|Augustæ-Vindelicorum|Augstae Vindelicorum|Aug. Vindelicorum|Augustae Vindelicorum [Augsburg]|[Augsburg]|... se trouvé a Augsbourg|[S.l. Augsburg]|Augspurg [Augsburg]|a Augsbourg|[Augspurg]|Augsburg.|in Augsburg|Preßburg und Freystadt [i.e. Augsburg]|Germanien [i.e. Augsburg]|Philadelphia [i.e. Augsburg]|Zu finden in Augspurg|... se trouve à Augsbourg|(Augsburg)|A Augsbourg|Augsbburg|Augsburg [u. a.]|Augsburg u.a.|Augustæ Vindelicorum [Augsburg]|Constantinopel=Augsburg|Elles se vendent à Augsbourg|Ausburg|Aussburg|[Augsburg?]|[Augustae Vind.]|[Augustae Vindelicorum]|Augustae 'Vind|Augustae|Augustae [Augsburg]|Augustae Vendelicorum|Augustae Vind.|Augustae Vind. [Augsburg]|Augustae Vindelic|Augustae Vindelic.|Augustae vindelicorum|Augustae Vindelicorum [Augsburg],|Augustae-Vindel|Frankfurt [Augsburg]|Osbor [Augsburg]|A. V. [Augsburg]|Augusta|Augustában|Auguste|gedruckt zu Augspirg|In Augusta [Augsburg]|Vindelicorum|[Ausburg]|Augburg|Ausgspurg|Augusburg|Augustae Videlicorum|[Augusta Vindelicorum]|Auguse Vindelicorum|August. Vindel.|Augusta Vind.|Augusta, Vindelicorum|Augustae apud Vindelicos|Augustæ Vindel.|Aug. Vind|Aug. Vindelic.|Aug(ustae) Vind.|Aug[usta] Vindel[icorum]|Augustae Vindelicorum etc.|Augustae Vindelicorum u.a.|Augustae Vindeliorum|Augustae Vindelocorum|Augustæ-Vindel.|Augustae-Vindelicorum|Augustae, Vind.|Augustae, Vindel.|Avgvstae Vindelic.|Avgvstae Vindelicorvm|Avgvstæ Vindelicorvm|Aug. Vin.|Aug[usta] Vin[delicorum]|[Augspurg|In Augspurg
# multi
Augsburg=Augustae Vindelic. et Friburgi Brisg.|Augustæ Vindelicorum & Friburgi Brisgojæ|München, Ingolstadt, und Augspurg|Augsburg und Gunzenhausen|Augspurg und Grätz Philipp|Costanz und Augspurg|Augsbourg & Memmingue|Augsbourg et Elwang|Philadelphia, Augsburg|Campidonae & Augustae Vindelicorum|Augustae - Coloniae|Augustae Vind.-Friburgi Brisg.|Monachii, Ingolstadii, et Augustae
Strassburg|Augsburg=Strassburg und Augspurg
Saltzburg|Augsburg=Saltzburg und Augspurg
Augsburg|Leipzig=Augsburg und Leipzig
Augsburg|Regensburg=Augustæ Vindel. & Ratisbonæ
Augsburg|Würzburg=Augustæ Vindelicorum Et Wirceburgi|Augspurg und Würtzburg|Augustae Vind. & Wirceburgi|Augustæ Vind. & Wirceburgi|Augustae Vind. et Wirceburgi
Augsburg|Dilingen=Augustae Vindelicorum & Dilingae|Augustae Vindelicorum et Dilingae|Augspurg und Dillingen|Augustæ Vindelicorum & Dilingæ|Augustae Vindel & Dilingae|Augustae Vindel. et Dilingae|Augustae, Vindelicorum & Dilingae
Augsburg|Ingolstadt|Graz=Ingolstadii et Augustae Vindelicorum, Grätz
Augsburg|Ingolstadt=Ingolstadii & Augustae Vind.|Ingolstadii et Augustae Vindel.|Augspurg u. Ingolstadt|Ingolstadt, und Augsburg|Augustae et Ingolstadii|Ingolstadii & Augustae Vindel.|Augustae & Ingolstadii|Augustae Vind. & Ingolstadii|Ingolstadii, & August. Vind.|Ingolstadii, et Augustae Vindel.|Ingolstadii Et Avgvstae Vindelicorvm
Augsburg|Innsbruck=Augsburg und Innsbrugg|Augsburg und Innsbruck|Augspurg und Insprugg|Augspurg und Ynnsprugg|Augustae [Augsburg] et Oeniponte [Innsbruck]|Augsburg, und Innsbruck|Augspurg und Ynsprugg|Augsburg und Innsbrug|Augsburg und Ynnsbrugg|Augspurg und Innsbrug|Augspurg und Jnnspruck|Augspurg und Regenspurg|Augspurg und Yhnsbruck|Augspurg und Yhnsprugg|Augsburg u. Innsbrugg|Augspurg [Augsburg] und Innsprugg [Innsbruck]|Augspurg u. Innsbruck|Augsburg & Innsbrugg|Augustae Vindelicorum et Oeniponti|Augustae Vindel. - Oeniponti|Augustae Vindelicor. et Oeniponti|August. et Oenipont.|Augustae Vind. Et Oenip.
Augsburg|Kraków=Augustae Vindel. et Cracoviae|Augustae Vindelicorum Et Cracoviae|Augustæ Vindelicorum Et Cracoviæ|Augustae Vindelicorum et Cravociae
Augsburg|Graz=Augustæ Vindelicorum & Græcii|Augustae Vindelicorum et Graecii|Augspurg und Grätz|Augspurg und Graez|Graecij, & Augustae Vindelicorum|Græcij, & Augustæ Vindelicorum|Augspurg und Gretz|Augspurg, und Grätz|Augustæ Vindelicorum Et Græcii|Augustae Vindelicorum et Graecii [Augsburg und Graz]|Augspurg und Graetz|Augspurg und Gräz|Augustae-Vindelicorum-Graecii|Augustae Vindelicorum [Augsburg] et Graeci [Graz]|Augusto-Vindelicorum et Grocii
Austin, TX=Austin
Avignon=Avignion|Avignone

Bad Berleburg=Berlenburg|Berleburg
Baden-Baden=Baden Baden
Bagdad=Baġdād.|Baġdād|Baghdad|Baghdad?|Baghdād|Bag̣dād|Baġdād
Baku=Baky|Baki|Bakı
Balassagyarmat=B. Gyarmaton|B.-Garmat|B.-Gyarmat|B.-Gyarmath|B.-Gyarmaton|Balassa-Gyarmat|Bgyarmat
Blaj=Balázsfalva|[Blaj]|In Blaj|[In Blaj]|In Blaju|Balasfalvae
Baltimore, MD=Baltimore
Bamberg=Bambergae|[Bamberg]|Bambergae u.a.|Bambergæ|[Bamberg?]|[Bambergae]|Bambberg|Bambercæ
Bardejov=Bártfa|Bartphae|Bártfán|Bartphae [Bártfa]|[Bártfa]|Bartfan [Bártfa]|Bardfeld [Bártfa]|Bartfeld [Bártfa]|Bartpahe [Bártfa]|Bartpha [Bártfa]
Basel=Basil|Basil.|Basiliae|Poh Basileʼah [Basel]|Basileae|Basle|A Basle|À Basle|à Basle|Basle en Suisse|Basileæ|Basilae|Basilea|Basilaeae|Ibi-ubi [i.e. Basel]|Basileában [Basel]|[Basel]|Basileae [Basel]|A Basle [Basel]|A Basle [Basel/Bâle]|Basileában|Basileae [Bázel]|Nyomtattatott Basileában|[Basilea]|Basileaban|Basileában [Bázel]|Basilie|Baslieabán|Coloniae Munatianae|Coloniæ Munatianæ|Bázel
Bassano del Grappa=Bassano|Bassani|In Bassano|[Bassano]|Bassan|Bassania
# multi
Bassano del Grappa|Venezia=Bassani, Venetiis
Bassano del Grappa|Padova=Padova, Bassano
Bautzen=Budyšin|Budissin|Budissae [Bautzen]|[Budissae]|Budissae
Bayreuth=Baireuth|Bayreuth i. Hof.
# multi
Bayreuth|Ansbach=Bayreuth und Onolzbach
Bayreuth|Leipzig=Bayreuth udn Leipzig|Leipzig und Bayreuth
Beijing=Běijīng|Peking|Pekin
Békéscsaba=Békešská Čaba
Belgia=Belgium
Belém=Belem|Bellem
Beograd=Belgrade|Belgrad|A Belgrade u.a.|Bellgrad|Belgrád|Beográd
Berdychiv=Berdyczow|W Berdyczowie|w Berdyczowie|(W Berdyczowie)|Berdyczów|[Berdyczów|[Berdyczów]|Berdyczów:|Berdiczoviae|Berdicoviae|Berdiczoviae,
Bergamo=Bergomi
Berkeley, CA=Berkeley|Berkeley [, Calif. etc.]|Berkeley [etc.], CA|Berkeley, Calif.etc|Berkely|Berkley|Berkeley, Calif.
Berlin=Berlijn|Berolini|Berlin etc|Berlin etc.|Berlim|[Berlin]|Westberlin|Warschau [i.e Berlin]|A Berlin|Berlin u.a.|[S.l. Berlin]|(Berlin)|Rom [i.e. Berlin]|Berlin [u. a.]|Berlino|à Berlin|In Berlino|[Berlin ?]|[S.l. Berlin?]|À Berlin|A Cythere [i.e. Berlin]|Californien [i.e. Berlin]|Germanien [i.e. Berlin]|Jerusalem [i.e. Berlin]|Regenspurg [i.e. Berlin]|Ulietea [i.e. Berlin]|Berlinben|Berlyn|Eleutheropel [Berlin]|Germanien [Berlin]|Warschau [recte: Berlin]|Coloniae Marchicae|Coloniae Brandenburgicae|Coloniae Brandenbrugicae|Coloniae Brandenburgicae [i.e. Cölln an der Spree]|Coloniæ Marchicæ [i.e. Cölln an der Spree]|Berlin :|Berlin [u.a]|Berlini|o.O. [Berlin]|v Berljne|[Berlin|[Berlin?|[Berlin?]|Berlin:|Beroe [i.e. Berlin|Londres [id est Berlin]|(Imprimè à Berlin,|Gedruckt in Teutschland [i. e. Berlin]|Germanien [i. e. Berlin|Imprimé à Berlin|Leyden [i.e. Berlin|Loadicea [wł. Berlin]|Philadelphia [i.e. Berlin|Regenspurg [ i. e. Berlin|Regenspurg [i.e. Berlin|w Berlinie|W Berlinie|Warschau [wł. Berlin]
# multi
Berlin=Berlin und Libau|Berolini et Francofurti ad Oderam|Berlin und Dessau|Berlin und Glogau|Ulietea, Berlin
Berlin|Greifswald=Berlin und Greifswald
Berlin|Stralsund=Berlin und Stralsund|Berlino e Stralsunda
Berlin|Frankfurt am Main|Leipzig=Berolini, Francof. & Lipsiæ|Berlin, Frankfurt und Leipzig
Berlin|Basel=A Berlin Et Basle
Berlin|Paris=A Berlin, Et se trouve à Paris
Berlin|Den Haag=Berlin et A la Haye|Berlin et a la Haye
Berlin|Wien=Berlin und Wien|Berlin, Wien
Berlin|Szczecin=Berlin und Stettin|Berlin u. Stettin|Berlin  und Stettin|Berlin; Stettin|[Berlin und Stettin]|Berlin-Stettin|Berlin Und Stettin|Berlynn und Stettyen
Berlin|Leipzig=Berlin und Leipzig|[Berlin und Leipzig]|Berolini et Lipsiae
Bern=Berne|Bernae|[Bern]|A Berne|Se vend A Berne|Berna|[Berne]|A Bernes|A Chambery [i.e. Bern]|Gedruckt im Vaterlande [i.e. Bern?]|[Bernae]|Bernae Helvetiorum
Banská Bystrica=Besztercebánya|Beszterczebánya|B. Bystøici|B. Bystrici|B. Bistrici|Baòske Bystøicy|B. Bistøicy|W. B. Bistrici|B. Bystricy|Baòské Bistøicy|Baòské Bystøicy|Baòské Bystricy|Baòské Bystøici|[Baòské] Bystøicy|Bánské-Bistøicy|Banské Bystøici|Banské Bystrici|Banskeg Bystøici|Baòske Bystricy|Banske Bystrici|B. Bystøicy|Banské-Bistøicy|Neusohl|Neosolii|Beszercebánya|Besztercebányán|Beszterczebányán|B. Bistricy|Banske Bistricy|Baòske Bytøicy|[Besztercebánya]|Besztercze Bánya|Besztertze-Bányán|Praha [! Besztercebánya]|Reusaht [Besztercebánya]|[Neosolii]|B. Bistryca|[Baňska Bystřica]|B. Bystrica|B. Bystřica|W B. Bystřicy|W Baňské Bystřicy|W Baňšké Bystřicy|W. B. Bystřicy|Wytisstěné w B. Bystřicy|W B. Bistricy|Banská Bystrica|W. B. Bistrycy|Neosolii [Neusohl]|Neusolii
Beverly Hills, CA=Beverley Hills, CA|Beverly Hills
Biała Podlaska=Biała-Podlaska
Białystok=Belastok|Bialistok|Bialystok
Bielefeld=Bielefield
Bielsko-Biała=Bielitz|Bielsko Biała
Birmingham=Birminghamiae
Bloomington, IN=Bloomington
Boca Raton, FL=Boca Raton
Bogotá=Bogotá|Bogota|Santafé de Bogotá
Bologna=Bononiae|Bononiae Studiorum|In Bologna|Bononiae [Bologna]|ed in Bologna|et in Bologna|in Bologna|Bologna a Colle Ameno
Bolzano=Bozen|Botzen
Bonn=Bonnae|Gedruckt und zu bekommen in der Churf. Residentz-Statt Bonn|[Bonn]
Boston, MA=Boston
Boulder, CO=Boulder|Boulder, Col.;
Braniewo=Brunsbergae|Brunsbergæ
Braşov=Brassó|Brașov|Brassó [Brașov]|Cronstadt|Kronstadt|Braºov|Brassóban|Brasov|Cron-Stadt|Coronae|Braºov [Brassó|Brashov|J Brasov|Kron-Stadt|(Kronstadt|Kronstadt-Brassó|Brassó-Kronstadt|Kronstadt [Brassó|Brassó (Kronstadt)|Kronstdat|Kronstadt,|Kronsladt|Coronae [Brassó]|Cronstadt [Brassó]|Kron-Stadt [Brassó]|Kronstadt [Brassó]|Brassoban|Cron-Stadt [Brassó]|Stephanopoli [Brassó]|[Kronstadt]
Bratislava=Pozsony|Posonii|Preßburg|Posonij|Poson|[Posonii]|Posonyban|Posonban|Posonii [Preßburg]|Posony|Pozsonyban|[Pozsonyban]|Pozson|Pozsonbann|Pozsöny|Presburg|W Presspurku|(Pressburg)|[S.l. Pressburg]|Pressburg|Pressburgo|W Pressburku|Pressbourg|Presbourg|W Presspůrku|Frankfurt und Leipzig [das heißt Preßburg]|[Preßburg]|[S.l. Preßburg]|Poszony|[Pozsony]|Pozsonban|Preszburg|(Posonii|Presspurku|Pressporku|Prešporku|Prešpurku|Pozsony, é. n|Posonu|Presporku|Presburgo|A Presbourg|(Posony|(Posonyban|Posonyba|Possoni|Presspurkus|Presspùrku|[Pressburg]|Presspurk|Pressburg [Pozsony]|Presspork|[W Presspurku]|W Pressporku|[Pressburg?]|Presburg [!]|Prespurg|W Pressburgu|[Presburg]|[W Presspurku] [Pozsony]|[W. Pressporku]|In Presburgo|Posonii [Pozsony]|[Pozsony?]|Posonyban [Pozsony]|Leipzig und Berlin [recte: Pozsony]|[Pozsony]ba'|Boson [Pozsony]|Hannover [recte: Pozsony]|Moguntiae [recte: Pozsony]|Posonii [Pozsony, Bratislava]|Posonij [Pozsony]|Pozsonnban|Pozsonybann|Presburg [Pozsony]|Pressburg[Pozsony]|Tsöbörtök [Pozsony]|und Pressburg [Pozsony/Bratislava]|W Presspurku[Pozsony]|Presspruk|Presspurgo|Presspǔrk|W Presspurků|W Presspurku wytlačeno|W. Presspurku|W Presporku|[Posony]|Posonni|Posoniae|[Poson]|[Posoniae?]|[Posonii?]|[Posonii] Pisonii [!]|Nyomatott Posonyban|Nyomtattatot Posonyban|Nyomtattatott Posonban|Nyomtattatott Posonyban|Posonii [Bratislava]|Posonii,|Pososnii|Pososny|Poz'onyban|Posany|Posón|Po'sonyban|Po'sony|[Po'sonyban]|Po'son|Po'sonban|Po'sonbann|Posnii|Press-Burg|V Bratislave|Bratislavě|Bratislava-Pozsony|Bratislva
# multi
Bratislava=Preßburg, Pest, und Kaschau|Pressburg u. Oedenburg|Pressburg, Kaschau und Pest [Pozsony], [Kassa] és [Budapest]|Raab, Ofen, Pressburg und Pest zu finden [ Győr, Buda, Pozsony, Pest]
Bratislava|Buda=Posonii [Pozsony], Budae [Buda]|Ofen, Pressburg [Buda, Pozsony]
Bratislava|Wien=[Wien Und Presburg]|Wien und Presburg|Wien und Preßburg|Bétsben és Pozsonyban
Bratislava|Leipzig=Leipzig und Preßburg|Preßburg u. Leipzig|Pressburg – Leipzig|Pressburg und Leipzig|Posonii et Lipsiae
Bratislava|Komárom=Pozsony es Komarom|Pozsonban és Komáromban|Pozsonyban es Komaromban|Posonii & Comaromii|Pozson-Komárom|Pozsony - Komárom|Pozsonban, és Komáromban|Pozsonyban, és Komáromban
Pest|Bratislava=Pesthenn, 's Po'sonybann [Budapest és Pozsony]|Pressburg und Pest [Pozsony], [Budapest]| Presspůrku a Pessté|W Presspůrku a Pessté|Pressburg und Pest|Pozsony, Pest|Pozsonybau & Pesten|Posonyban és Pesten|Pozsonyban, és Pesten|Posonyban, és Pesten|Pressburg u. Pest|Pozsonyban és Pesten
Bratislava|Kassa=Posonii et Cassoviae|Posonii & Cassoviae|Posonii Et Cassoviae|Posonyban, és Kassán|Pozsony és Kassa|Posonyban és Kassán|Posonii, et Cassoviae|Pressburg und Kaschau|Pressburg und Kaschau [Pozsony] és [Kassa]|Pressburg und Kassau [Pozsony] és [Kassa]|Pressburg - Kaschau|Pressburg-Kaschau
Braunschweig=Brunsvigae|Brunsvic|À Brunsvick|Brunsvicae|Brunsvici|Brunsvigæ|[Braunschweig]|[Braunschweig?]|[S.l. Braunschweig]|Braunschweig]|Germanien [i.e. Braunschweig]|Brunsuic|Brunswick|Brunswigae|Brunsuiga|Brunswic|Brunswigæ|Brvnsvigae|Braunschwieg|Brunsvick
# multi
Braunschweig=Brunsvigae et Lipsiae|Braunschweig und Hildesheim|Wien u. Braunschweig|Braunschweig u. Hildesheim|Braunschweig und Helmstädt|Braunschweig und Helmstedt|Braunschweig und Wolfenbüttel|Strasburg, Braunschweig|Hambourg et Brunswick|Hildesiae Et Brunsuigiae
Bremen=Bremae|Bremæ|A Bremen|Breme|Bremae [Brema]|Bréma
# multi
Bremen=Hamburg u. Bremen|Hamburg und Bremen|Leipzig und Bremen|Bremen und Leipzig
Brescia=Brixiae|Brixiæ|Brixinae|Brixinæ|Brixie|Brixiae [Brescia]
Brezno=Breznóbánya|[Breznobánya]
Brno=Brünn|V Brne|Brunae|Bruna|Brunae in Moravia|Brunae Moravorum|[Brünn]|[S.l. Brünn]|Brün|Brün[n]|[Brno]|[Brunae Moravorum]|[Brunae]|Brunae [Brno]|[Brno|[Brno?|[Brno?]|Brno,|Brno?|V Brně
# multi
Brno=Viennae et Brunae|Wienn und Brünn|Wienn u. Brünn|Brünn und Ollmütz|Prag, Brünn und Ollmütz|Prag, Brünn, und Ollmütz|Troppau, Brünn, Wien|Wien u. Brün|Wien und Brün [Brünn]|Wienn & Brünn
Brugge=Bruges
Bruxelles=Brussel|Brussels|Brüssel|Brussel,|Brusselle|Brüssel|Brussel etc.|Bruxellis|Bruxella|Bruxelas|Bruxellae|Bruxelle|Bruxells|Bruxeles|Bruxellæ|Bruxelles, Belgique|Bruxellles|Bruxellas|Ixelles lez Bruxelles|Ixelles-Bruxelles|Bruxelles, av. Van Volxem 305|Bruxelles, et dans les principales villes de l'étranger|... Bruxelles|Bruxelles (Rue de Ruysbroeck 2-6)|A Bruxelles|Et À Bruxelles|[Bruxelles]|[S.l. Bruxelles]|A Bruxelles [Brüssel]|Bruxelles [Brüssel]|... à Bruxelles|à Bruxelles|À Bruxelles|A' Bruxelles|Bruxelles [u. a.]|Bruxelles u.a.|Brusselas|Brusselles|Tot Brussel|A Brusselles|A Brusselle|Brussele|En Bruselas|[Brüssel]|[S.l. Brüssel]|Bruselles|[Bruxelles?]|Venumdatur, Bruxellis [Bruxelles]|Brüsszel
# multi
Bruxelles=Bruxelles et Paris|Paris, Bruxelles|A Bruxelles Et se trouve à Liége|A Paris , & se trouve ... à Liege ... à Bruxelles|Paris et Bruxelles|Bruxelles-Paris|A Paris, et se trouve à Bruxelles|Londres, et se trouve a Bruxelles
Brzeg=W Brzegu|[Brzeg]|[Brzeg|[Brzeg?|W Brzegu Sląskim|[W Brzegu|Drukowal w Brzegu|Bresslau und Liegnitz ; [Brzeg]|Brzeg,
Bucureşti=Bucarest|Bucureşti|București|Bucharest|Bukarest|Bucureștii|Bcuurești|Bukarest [București]|Bucuresti|București|Bucuręsti|Buharest|Bukarešt|Bucuręsti|Bucuresţi|Bucureṣti
# multi
Warszawa|Bucureşti=Varsovia ; Bucuresti
Buda=Budae|Budae [Budapest]|Budæ|[Budae]|[S.l. Buda]|Budæ in Hungaria|Budan|Budán|Veterobudae|Vor dem Petersthore in der großen Bude|Budim|Budánn|Bvdae|(Budae|Budimu|Budine|Budiòe|Budíne|Budimje|Budini|En Buda|La Buda|Budin|Budinje|[Buda]|Budae [Buda]|Nyomtattatott Budán|U Budimu|Ofen [Buda]|Bude|Vʺ�Budimě|[Budán]|Budae in Hungaria|Vu Budimu|W Budine|[Buda?]|[Budim]|Báda [Buda]|Bndim [! Budim]|Budime|Ēn Buda|Napečatasâ vʺ�Budimě|Nyomatattatott Budán|Nyomtattatak Budán|Ofer [Buda]|Reimpressum, Budae|U Budim|V' ' Budime|V" Budime|Vʺ�Budiňe|Vʺ�Budině gradě|Vʺ�Budiňe gradě|W Budiné|W Budjnje|Ofen|[Ofen]|[Ofen?]|gedruckt zu Ofen|in Ofen
# multi
Buda=Budán, és Nagy-Szombatban|Buda – Nagyszombat|Budán és Pozsonyban|Budae, & Tyrnaviae|Buda és Pest|Budae & Posonii|Budae & Tyrnaviae|Nyomtattatott Po'sonban és Budán|Pestini - Budae|Posonii & Budae|Pest und Ofen|Ofen u. Wien|Wien und Ofen
Pest=Pesth|Pest|Pestini|Pesthini|Pesten|[Pest]|[Pesth]|Pesthenn|Germanien [i.e. Pest]|Ofen u. Pest|Pest [Budapest]|[S.l. Pest]|Pestenn|[Pestini]|[Pest?]|[Pesthini]|En Pesta|Pesthen|Pestini [etc.]|Pestini [Pest]|[Pestin]|[En Pesté]|En Pesté|Nyomtatt. Pesten|Nyomtatt. Pestini|Pesthenn [Budapest]|Pestini, in regno Hungariae|Pestinii|Prostant Pestini|Találtatik Pesten|Találtatik Pesten ...|U Pesti|Peshtini|Pesst|W Pessti|W Pessté|W Pesstu
# multi
Pest=Ofen [Budapest] und Tyrnau|Pest, Neustrelitz|Pest und Ofen|Posonyban es Pesten|Pest und Leipzig|Pest und Wien|Posonii et Pestini|Posonyban És Pesten|Pest - Ofen|Pest, Ofen und Kaschau|Po'sonyban és Pesten|Pest-Ofen|Pesthenn 's Posonyban|Pestini, Posonii et Lipsiae|Po[z]sonyban és Pesten|Pos[z]onyban és Pesten
